Task,Assigned To,Not Started,Started ,Finished
IR Redistribute Ballots - BUG,James,,,X
Display Percentages Correctly In Results/Audit - BUG,Aiden,,,X
Bring In Multiple Files,Nuh,,,X
Process Multiple IR Ballot Files,Bang,,,X
Process Multiple CPL Ballot Files,Bang,,,X
IR Table Results,Aiden,,,x
Bring In PO Files,Nuh ,,,x
Run PO Election (No Audit/Results),Bang,,,X
Tie Breaker For PO,James,,,X
invalid ballot IR check,Aiden,,,x
display PO result,Nuh,,,x
Process Multiple PO Ballot Files,Bang,,,X